comment_id,Explicit Abusive Expression,Implicit Abusive Expression,Language Independent Change,Croatian specific Language Change,Croatia Knowledge Based,World Knowledge Based,Other
22278126,Yes,No,No,Yes,No,No,No
22176010,Yes,No,No,No,No,No,No
21805754,Yes,No,No,No,No,No,No
21620653,No,No,No,No,No,No,Yes
21671014,Yes,No,No,No,No,No,No
22164995,Yes,No,No,No,No,No,No
21608752,Yes,No,No,No,No,No,No
22155468,Yes,No,No,No,No,No,No
21714791,Yes,No,No,No,No,No,No
21796604,Yes,No,No,No,No,No,No
21677408,,,,,,,
22145783,,,,,,,
22291133,,,,,,,
21608609,,,,,,,
21802114,,,,,,,
22233582,,,,,,,
22328789,,,,,,,
22198515,,,,,,,
21934958,,,,,,,
21619854,,,,,,,
21778392,No,No,No,No,No,No,Yes
21893521,No,No,No,No,No,No,Yes
22165738,Yes,No,No,Yes,No,No,No
21869326,Yes,No,No,No,No,No,No
22111335,Yes,No,No,No,No,No,No
21983959,Yes,No,No,No,Yes,No,No
21806171,Yes,No,No,No,No,No,No
21995502,Yes,No,No,No,No,No,No
22004593,Yes,No,No,No,No,No,No
21881999,Yes,No,No,No,No,No,No
22029315,No,Yes,No,No,No,No,No
21912686,Yes,No,No,No,No,No,No
21741632,Yes,No,No,No,No,No,No
21695906,No,No,No,Yes,Yes,No,No
21612949,Yes,No,No,No,No,No,No
22059565,Yes,No,No,No,Yes,No,No
22158494,Yes,No,No,Yes,No,No,No
22069930,No,No,No,Yes,No,No,No
21778226,Yes,No,No,No,No,No,No
21631395,Yes,No,No,Yes,No,No,No
22313278,No,No,No,No,No,No,Yes
21999713,No,No,No,No,No,No,Yes
22253300,No,No,No,No,No,No,Yes
21931007,Yes,No,No,Yes,No,No,No
21616754,Yes,No,No,No,No,No,No
22251705,Yes,No,No,Yes,No,No,No
21692979,No,No,No,No,Yes,No,No
22080131,No,No,No,No,No,No,Yes
22138724,Yes,No,No,Yes,No,No,No
21795898,Yes,No,No,Yes,No,No,No
21942843,No,No,No,No,No,No,Yes
22305483,Yes,No,No,No,No,No,No
21622021,Yes,No,No,No,No,No,No
22072377,No,No,No,Yes,No,No,No
21669904,No,No,No,Yes,No,No,No
21673457,Yes,No,No,No,No,No,No
22387782,Yes,No,No,Yes,No,No,No
21894977,Yes,No,No,No,No,No,No
22133776,No,No,No,Yes,No,No,No
22053886,No,No,No,No,Yes,No,No
22231933,No,No,Yes,No,No,No,No
22023890,Yes,No,No,No,No,No,No
22103921,Yes,No,No,No,No,No,No
22131334,Yes,No,No,No,No,No,No
21830583,No,No,No,No,No,No,Yes
21994226,No,No,No,No,Yes,No,No
22235986,No,No,No,No,No,No,Yes
21672332,Yes,No,No,No,No,No,No
21762854,No,No,No,Yes,No,No,No
21901752,No,No,No,No,No,No,Yes
22339458,Yes,No,No,No,No,No,No
21955129,No,Yes,No,No,No,No,No
22064603,No,Yes,No,No,No,Yes,No
22298087,Yes,No,No,No,No,No,No
22289664,Yes,No,No,No,No,No,No
22017434,Yes,No,No,Yes,No,No,No
21943802,Yes,No,No,Yes,No,No,No
21789553,Yes,No,No,No,No,No,No
21877144,No,No,No,No,No,No,Yes
22038557,Yes,No,No,No,No,No,No
22312978,Yes,No,No,No,No,No,No
22125343,Yes,No,No,No,No,No,No
22171840,Yes,No,Yes,No,No,No,No
21740102,No,Yes,No,No,No,No,No
21737033,Yes,No,Yes,No,No,No,No
21869952,Yes,No,No,No,No,No,No
22323765,Yes,No,No,No,No,No,No
21674517,Yes,No,Yes,No,No,No,No
22269440,Yes,No,Yes,No,No,No,No
21672971,Yes,No,No,No,Yes,No,No
21894257,Yes,No,No,No,No,No,No
21779939,No,Yes,No,No,No,No,No
21717052,No,No,No,No,Yes,No,No
21710397,No,No,No,No,Yes,No,No
22174477,Yes,No,No,Yes,No,No,No
21665530,No,Yes,No,No,No,No,No
22057496,No,No,No,No,No,No,Yes
22020664,Yes,No,No,Yes,No,Yes,No
21801522,Yes,No,No,No,No,No,No
22285236,No,No,No,No,No,No,Yes
22265804,Yes,No,Yes,No,No,No,No
21777085,No,No,No,Yes,Yes,No,No
22186624,Yes,No,No,No,No,No,No
21963221,Yes,No,No,No,No,No,No
21678473,Yes,No,No,No,No,No,No
22384054,No,No,No,No,No,No,Yes
21895410,Yes,No,Yes,No,No,No,No
21846172,Yes,No,No,Yes,No,No,No
22388985,Yes,No,No,No,No,No,No
21807980,Yes,No,No,No,Yes,No,No
21926877,Yes,No,Yes,No,No,No,No
22305247,Yes,No,No,No,No,No,No
22345312,Yes,No,No,No,No,No,No
22023072,No,Yes,No,No,No,No,No
21717608,Yes,No,No,Yes,No,No,No
