comment_id,Explicit Abusive Expression,Implicit Abusive Expression,Language Independent Change,Croatian specific Language Change,Croatia Knowledge Based,World Knowledge Based,Other
22278126,1,0,0,1,0,0,2
22176010,3,0,0,0,0,0,0
21805754,1,0,0,1,0,0,1
21620653,0,0,0,0,1,0,2
21671014,3,0,0,0,0,0,0
22164995,2,0,0,0,1,0,1
21608752,3,0,0,0,1,0,0
22155468,3,0,2,0,0,0,0
21714791,3,0,0,0,0,0,0
21796604,3,0,0,0,0,0,0
21677408,0,0,0,0,0,0,2
22145783,2,0,0,0,0,0,0
22291133,2,0,0,2,0,0,0
21608609,2,0,0,0,0,0,0
21802114,2,0,0,2,0,0,0
22233582,0,0,0,0,0,0,2
22328789,2,0,0,0,0,0,0
22198515,0,0,0,0,0,0,2
21934958,0,0,2,0,0,0,0
21619854,2,0,0,0,0,0,0
21778392,0,0,0,0,0,0,3
21893521,0,0,0,0,0,0,3
22165738,3,0,0,2,0,0,0
21869326,1,1,0,1,1,0,0
22111335,3,0,0,0,0,0,0
21983959,1,0,0,0,2,0,1
21806171,2,0,0,0,0,0,1
21995502,1,1,0,0,0,0,1
22004593,3,0,0,0,1,0,0
21881999,2,0,1,0,0,0,0
22029315,0,3,0,0,0,0,0
21912686,2,0,0,1,1,0,0
21741632,3,0,0,1,0,0,0
21695906,1,0,1,1,1,0,0
21612949,3,0,0,0,0,0,0
22059565,3,0,0,0,2,0,0
22158494,2,0,0,3,0,0,0
22069930,0,0,1,2,0,0,0
21778226,3,0,0,0,0,0,0
21631395,3,0,0,1,0,0,0
22313278,0,1,0,0,0,0,2
21999713,0,0,0,0,0,0,3
22253300,0,0,0,0,0,0,3
21931007,2,0,0,2,0,0,1
21616754,3,0,0,0,0,0,0
22251705,3,0,0,1,0,0,0
21692979,0,0,0,0,3,0,0
22080131,0,1,0,0,0,0,2
22138724,2,0,0,2,0,0,0
21795898,3,0,0,1,0,0,0
21942843,0,0,0,0,0,0,3
22305483,3,0,0,0,0,0,0
21622021,3,0,0,1,0,0,0
22072377,0,1,0,1,0,0,1
21669904,0,0,2,2,0,0,0
21673457,3,0,0,1,0,0,0
22387782,3,0,2,1,0,0,0
21894977,3,0,0,0,0,0,0
22133776,0,0,0,2,1,0,0
22053886,0,0,0,0,3,0,0
22231933,0,0,3,0,0,0,0
22023890,2,0,0,1,0,0,0
22103921,3,0,0,0,0,0,0
22131334,3,0,0,0,0,0,0
21830583,0,0,0,0,0,0,3
21994226,0,0,0,0,1,0,2
